"","county","Category","Sales_Dollars","Sales_Volume","High School","Bachelor","Unemployment","Income","Population","White Population","Black Population","Indian Population","Asain Population","Hawaiian Population","Other Population","Multi Population"
"53","Benton","Rum",103779,7354,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"54","Benton","Tequila",28704,2080,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"55","Benton","Distilled Spirits",4114,178,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"56","Benton","Gin",10103,933,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"57","Benton","Brandy",24499,2159,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"58","Benton","Amaretto",2658,221,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"59","Benton","Schnapps",43782,3419,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"60","Benton","Misc",51367,3242,92.8,21.8,3.8,34563,25720,25147,140,10,79,0,47,297
"61","Black Hawk","Whisky",4490927,275531,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"62","Black Hawk","Rum",1953607,137217,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"63","Black Hawk","Brandy",1308312,62581,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"64","Black Hawk","Misc",1310459,75360,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"65","Black Hawk","Amaretto",58143,5916,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"66","Black Hawk","Vodka",3669281,296296,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"67","Black Hawk","Gin",579620,44616,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"68","Black Hawk","Schnapps",754695,51979,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"69","Black Hawk","Tequila",1040044,56138,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"70","Black Hawk","Distilled Spirits",124361,13533,90.8,27,6.3,27979,132821,113015,11778,420,2608,299,1874,2827
"71","Boone","Vodka",291581,28754,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"72","Boone","Rum",193903,13826,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"73","Boone","Distilled Spirits",8443,524,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"74","Boone","Gin",32274,2692,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"75","Boone","Whisky",586592,40583,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"76","Boone","Tequila",52539,3498,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"77","Boone","Amaretto",5443,482,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"78","Boone","Schnapps",61374,4607,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"79","Boone","Misc",110392,6595,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
"80","Boone","Brandy",30032,2335,94.4,22.4,4.3,31885,26411,25618,324,60,36,11,44,318
