"","zipcode","city","county","city_avg_sales","zipcode_avg_sales"
"305",50475,"Sheffield","Franklin",2410.7,2410.7
"313",50483,"Wesley","Kossuth",22644.8,22644.8
"315",50501,"Fort Dodge","Webster",325635.5,325635.5
"316",50510,"Albert City","Buena Vista",244.285714285714,244.285714285714
"317",50511,"Algona","Kossuth",94886.6,94886.6
"318",50514,"Armstrong","Emmet",4606.5,4606.5
"321",50517,"Bancroft","Kossuth",30260.5,30260.5
"329",50525,"Clarion","Wright",13642.5,13642.5
"333",50529,"Dakota City","Humboldt",1276,1276
"334",50530,"Dayton","Webster",5831.3,5831.3
"337",50533,"Eagle Grove","Wright",24920.4,24920.4
"338",50535,"Early","Sac",1945.1,1945.1
"339",50536,"Emmetsburg","Palo Alto",54417,54417
"342",50540,"Fonda","Pocahontas",1658.77777777778,1658.77777777778
"343",50541,"Gilmore City","Pocahontas",1949.5,1949.5
"344",50542,"Goldfield","Wright",2242.11111111111,2242.11111111111
"345",50543,"Gowrie","Webster",8625.4,8625.4
"349",50548,"Humboldt","Humboldt",59197.1,59197.1
"352",50554,"Laurens","Pocahontas",11622.1,11622.1
"360",50563,"Manson","Calhoun",13211.8,13211.8
"365",50569,"Otho","Webster",1777.33333333333,1777.33333333333
"369",50574,"Pocahontas","Pocahontas",17625.4,17625.4
"370",50575,"Pomeroy","Calhoun",589.75,589.75
"374",50579,"Rockwell City","Calhoun",7856,7856
"375",50581,"Rolfe","Pocahontas",2169.7,2169.7
"377",50583,"Sac City","Sac",30580.5,30580.5
"378",50585,"Sioux Rapids","Buena Vista",8430,8430
"380",50588,"Storm Lake","Buena Vista",159521.4,159521.4
"381",50590,"Swea City","Kossuth",4725.4,4725.4
"386",50595,"Webster City","Hamilton",68462.8,68462.8
"387",50597,"West Bend","Palo Alto",12479.8,12479.8
"388",50598,"Whittemore","Kossuth",1334.4,1334.4
"390",50601,"Ackley","Hardin",5805.8,5805.8
"391",50602,"Allison","Butler",7521.2,7521.2
"392",50603,"Alta Vista","Chickasaw",632.777777777778,632.777777777778
"395",50606,"Arlington","Fayette",2887.8,2887.8
"401",50613,"Cedar Falls","Black Hawk",494394.7,494394.7
"403",50616,"Charles City","Floyd",92754.6,92754.6
"404",50619,"Clarksville","Butler",4062.6,4062.6
